route_id,stop_sequence,latitude,longitude,stop_type,planned_arrival_time,service_time_minutes,planned_start_time,time_window_start,time_window_end,demand_units,customer_id
R001,0,33.478,-112.074,depot,,0,2025-06-11T08:00:00+00:00,,,0,
R001,1,33.478,-111.95979,delivery,,90.0,2025-06-11T08:00:00+00:00,08:00,12:00,1,big-R001-01
R001,2,33.50989,-112.03422,delivery,,90.0,2025-06-11T08:00:00+00:00,09:30,13:30,1,big-R001-02
R001,3,33.41728,-111.98609,delivery,,90.0,2025-06-11T08:00:00+00:00,11:00,15:00,1,big-R001-03
R001,4,33.53524,-111.93986,delivery,,90.0,2025-06-11T08:00:00+00:00,12:30,16:30,1,big-R001-04
R001,5,33.46376,-112.08902,delivery,,90.0,2025-06-11T08:00:00+00:00,14:00,18:00,1,big-R001-05
R001,6,33.42947,-111.90101,delivery,,90.0,2025-06-11T08:00:00+00:00,15:30,19:30,1,big-R001-06
R001,7,33.57292,-112.02307,delivery,,90.0,2025-06-11T08:00:00+00:00,17:00,21:00,1,big-R001-07
R002,0,33.478,-112.074,depot,,0,2025-06-11T08:00:00+00:00,,,0,
R002,1,33.56392,-112.11898,delivery,,90.0,2025-06-11T08:00:00+00:00,08:00,12:00,1,big-R002-01
R002,2,33.49825,-112.14733,delivery,,90.0,2025-06-11T08:00:00+00:00,09:30,13:30,1,big-R002-02
R002,3,33.55,-112.04334,delivery,,90.0,2025-06-11T08:00:00+00:00,11:00,15:00,1,big-R002-03
R002,4,33.57303,-112.18964,delivery,,90.0,2025-06-11T08:00:00+00:00,12:30,16:30,1,big-R002-04
R002,5,33.45886,-112.08537,delivery,,90.0,2025-06-11T08:00:00+00:00,14:00,18:00,1,big-R002-05
R002,6,33.61879,-112.06882,delivery,,90.0,2025-06-11T08:00:00+00:00,15:30,19:30,1,big-R002-06
R002,7,33.49936,-112.22375,delivery,,90.0,2025-06-11T08:00:00+00:00,17:00,21:00,1,big-R002-07
R003,0,33.478,-112.074,depot,,0,2025-06-11T08:00:00+00:00,,,0,
R003,1,33.41214,-112.14634,delivery,,90.0,2025-06-11T08:00:00+00:00,08:00,12:00,1,big-R003-01
R003,2,33.39717,-112.06467,delivery,,90.0,2025-06-11T08:00:00+00:00,09:30,13:30,1,big-R003-02
R003,3,33.47646,-112.13953,delivery,,90.0,2025-06-11T08:00:00+00:00,11:00,15:00,1,big-R003-03
R003,4,33.35256,-112.14807,delivery,,90.0,2025-06-11T08:00:00+00:00,12:30,16:30,1,big-R003-04
R003,5,33.45346,-112.02584,delivery,,90.0,2025-06-11T08:00:00+00:00,14:00,18:00,1,big-R003-05
R003,6,33.44653,-112.21798,delivery,,90.0,2025-06-11T08:00:00+00:00,15:30,19:30,1,big-R003-06
R003,7,33.33386,-112.05615,delivery,,90.0,2025-06-11T08:00:00+00:00,17:00,21:00,1,big-R003-07
