route_id,stop_sequence,latitude,longitude,stop_type,planned_arrival_time,service_time_minutes,planned_start_time,time_window_start,time_window_end,demand_units,customer_id
R001,0,32.78,-96.8,depot,,0,2025-06-13T06:30:00+00:00,,,0,
R001,1,32.78,-96.73786,delivery,,40.0,2025-06-13T06:30:00+00:00,06:30,10:30,1,dsd-R001-01
R001,2,32.79433,-96.77103,delivery,,40.0,2025-06-13T06:30:00+00:00,08:00,12:00,1,dsd-R001-02
R001,3,32.75272,-96.74958,delivery,,40.0,2025-06-13T06:30:00+00:00,09:30,13:30,1,dsd-R001-03
R001,4,32.80572,-96.72897,delivery,,40.0,2025-06-13T06:30:00+00:00,11:00,15:00,1,dsd-R001-04
R001,5,32.7736,-96.79546,delivery,,40.0,2025-06-13T06:30:00+00:00,12:30,16:30,1,dsd-R001-05
R001,6,32.7582,-96.71166,delivery,,40.0,2025-06-13T06:30:00+00:00,14:00,18:00,1,dsd-R001-06
R001,7,32.82264,-96.76606,delivery,,40.0,2025-06-13T06:30:00+00:00,15:30,19:30,1,dsd-R001-07
R001,8,32.7379,-96.77843,delivery,,40.0,2025-06-13T06:30:00+00:00,17:00,21:00,1,dsd-R001-08
R001,9,32.79732,-96.69601,delivery,,40.0,2025-06-13T06:30:00+00:00,18:30,22:30,1,dsd-R001-09
R001,10,32.80037,-96.81112,delivery,,40.0,2025-06-13T06:30:00+00:00,20:00,00:00,1,dsd-R001-10
R001,11,32.72917,-96.72413,delivery,,40.0,2025-06-13T06:30:00+00:00,21:30,01:30,1,dsd-R001-11
R001,12,32.83604,-96.73152,delivery,,40.0,2025-06-13T06:30:00+00:00,23:00,03:00,1,dsd-R001-12
R002,0,32.78,-96.8,depot,,0,2025-06-13T06:30:00+00:00,,,0,
R002,1,32.82679,-96.82567,delivery,,40.0,2025-06-13T06:30:00+00:00,06:30,10:30,1,dsd-R002-01
R002,2,32.79728,-96.8383,delivery,,40.0,2025-06-13T06:30:00+00:00,08:00,12:00,1,dsd-R002-02
R002,3,32.82053,-96.79196,delivery,,40.0,2025-06-13T06:30:00+00:00,09:30,13:30,1,dsd-R002-03
R002,4,32.83088,-96.85715,delivery,,40.0,2025-06-13T06:30:00+00:00,11:00,15:00,1,dsd-R002-04
R002,5,32.77959,-96.81069,delivery,,40.0,2025-06-13T06:30:00+00:00,12:30,16:30,1,dsd-R002-05
R002,6,32.85144,-96.80332,delivery,,40.0,2025-06-13T06:30:00+00:00,14:00,18:00,1,dsd-R002-06
R002,7,32.79778,-96.87235,delivery,,40.0,2025-06-13T06:30:00+00:00,15:30,19:30,1,dsd-R002-07
R002,8,32.79838,-96.77077,delivery,,40.0,2025-06-13T06:30:00+00:00,17:00,21:00,1,dsd-R002-08
R002,9,32.85945,-96.8515,delivery,,40.0,2025-06-13T06:30:00+00:00,18:30,22:30,1,dsd-R002-09
R002,10,32.76308,-96.84026,delivery,,40.0,2025-06-13T06:30:00+00:00,20:00,00:00,1,dsd-R002-10
R002,11,32.84478,-96.76745,delivery,,40.0,2025-06-13T06:30:00+00:00,21:30,01:30,1,dsd-R002-11
R002,12,32.82485,-96.89261,delivery,,40.0,2025-06-13T06:30:00+00:00,23:00,03:00,1,dsd-R002-12
R003,0,32.78,-96.8,depot,,0,2025-06-13T06:30:00+00:00,,,0,
R003,1,32.74223,-96.83787,delivery,,40.0,2025-06-13T06:30:00+00:00,06:30,10:30,1,dsd-R003-01
R003,2,32.7355,-96.80145,delivery,,40.0,2025-06-13T06:30:00+00:00,08:00,12:00,1,dsd-R003-02
R003,3,32.77112,-96.83483,delivery,,40.0,2025-06-13T06:30:00+00:00,09:30,13:30,1,dsd-R003-03
R003,4,32.71546,-96.83864,delivery,,40.0,2025-06-13T06:30:00+00:00,11:00,15:00,1,dsd-R003-04
R003,5,32.76079,-96.78414,delivery,,40.0,2025-06-13T06:30:00+00:00,12:30,16:30,1,dsd-R003-05
R003,6,32.75768,-96.86981,delivery,,40.0,2025-06-13T06:30:00+00:00,14:00,18:00,1,dsd-R003-06
R003,7,32.70706,-96.79765,delivery,,40.0,2025-06-13T06:30:00+00:00,15:30,19:30,1,dsd-R003-07
R003,8,32.79164,-96.81145,delivery,,40.0,2025-06-13T06:30:00+00:00,17:00,21:00,1,dsd-R003-08
R003,9,32.71649,-96.87305,delivery,,40.0,2025-06-13T06:30:00+00:00,18:30,22:30,1,dsd-R003-09
R003,10,32.73828,-96.76088,delivery,,40.0,2025-06-13T06:30:00+00:00,20:00,00:00,1,dsd-R003-10
R003,11,32.78843,-96.86658,delivery,,40.0,2025-06-13T06:30:00+00:00,21:30,01:30,1,dsd-R003-11
R003,12,32.68668,-96.82697,delivery,,40.0,2025-06-13T06:30:00+00:00,23:00,03:00,1,dsd-R003-12
