route_id,stop_sequence,latitude,longitude,stop_type,planned_arrival_time,service_time_minutes,planned_start_time,time_window_start,time_window_end,demand_units,customer_id
R001,0,41.88,-87.63,depot,,0,2025-06-12T06:00:00+00:00,,,0,
R001,1,41.88,-87.57683,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-01
R001,2,41.88888,-87.60004,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-02
R001,3,41.86309,-87.58503,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-03
R001,4,41.89594,-87.57061,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-04
R001,5,41.87603,-87.61713,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-05
R001,6,41.86649,-87.5585,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-06
R001,7,41.90643,-87.59656,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-07
R001,8,41.85391,-87.60522,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-08
R001,9,41.89073,-87.54754,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-09
R001,10,41.89262,-87.62809,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-10
R001,11,41.8485,-87.56722,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-11
R001,12,41.91473,-87.57239,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-12
R001,13,41.86097,-87.63112,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-13
R001,14,41.87153,-87.53529,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-14
R001,15,41.91343,-87.61859,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-15
R001,16,41.83809,-87.59431,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-16
R001,17,41.9081,-87.54225,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-17
R001,18,41.88186,-87.64727,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-18
R001,19,41.84744,-87.54307,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-19
R001,20,41.92735,-87.58996,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R001-20
R002,0,41.88,-87.63,depot,,0,2025-06-12T06:00:00+00:00,,,0,
R002,1,41.91953,-87.63131,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-01
R002,2,41.90124,-87.64015,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-02
R002,3,41.91565,-87.60773,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-03
R002,4,41.92206,-87.65335,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-04
R002,5,41.89028,-87.62083,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-05
R002,6,41.9348,-87.61567,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-06
R002,7,41.90155,-87.66398,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-07
R002,8,41.90193,-87.59289,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-08
R002,9,41.93977,-87.64939,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-09
R002,10,41.88005,-87.64153,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-10
R002,11,41.93068,-87.59058,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-11
R002,12,41.91833,-87.67817,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-12
R002,13,41.88189,-87.59896,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-13
R002,14,41.95129,-87.62538,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-14
R002,15,41.88438,-87.67048,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-15
R002,16,41.91201,-87.57322,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-16
R002,17,41.94144,-87.67321,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-17
R002,18,41.86727,-87.6247,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-18
R002,19,41.94865,-87.59227,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-19
R002,20,41.90373,-87.69271,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R002-20
R003,0,41.88,-87.63,depot,,0,2025-06-12T06:00:00+00:00,,,0,
R003,1,41.87806,-87.68283,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-01
R003,2,41.87389,-87.65735,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-02
R003,3,41.89597,-87.68071,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-03
R003,4,41.86147,-87.68337,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-04
R003,5,41.88956,-87.64523,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-05
R003,6,41.88763,-87.70519,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-06
R003,7,41.85627,-87.65468,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-07
R003,8,41.90868,-87.66434,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-08
R003,9,41.86211,-87.70746,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-09
R003,10,41.87561,-87.62894,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-10
R003,11,41.90669,-87.70293,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-11
R003,12,41.84364,-87.6752,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-12
R003,13,41.90679,-87.63688,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-13
R003,14,41.87834,-87.7259,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-14
R003,15,41.85368,-87.63098,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-15
R003,16,41.9219,-87.68031,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-16
R003,17,41.84432,-87.70662,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-17
R003,18,41.88967,-87.61409,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-18
R003,19,41.90312,-87.72665,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-19
R003,20,41.83479,-87.65389,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R003-20
R004,0,41.88,-87.63,depot,,0,2025-06-12T06:00:00+00:00,,,0,
R004,1,41.84097,-87.62615,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-01
R004,2,41.86033,-87.62388,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-02
R004,3,41.84024,-87.65026,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-03
R004,4,41.84271,-87.604,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-04
R004,5,41.86726,-87.64631,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-05
R004,6,41.82323,-87.63601,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-06
R004,7,41.86457,-87.60076,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-07
R004,8,41.85068,-87.66929,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-08
R004,9,41.82484,-87.60174,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-09
R004,10,41.88108,-87.62983,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-10
R004,11,41.82245,-87.66167,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-11
R004,12,41.85104,-87.58131,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-12
R004,13,41.8712,-87.67031,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-13
R004,14,41.80914,-87.62098,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-14
R004,15,41.8824,-87.60037,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-15
R004,16,41.83719,-87.68484,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-16
R004,17,41.82776,-87.57816,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-17
R004,18,41.89023,-87.65046,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-18
R004,19,41.8054,-87.65387,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-19
R004,20,41.86792,-87.57227,delivery,,18.0,2025-06-12T06:00:00+00:00,,,1,dsd-R004-20
