route_id,stop_sequence,latitude,longitude,stop_type,planned_arrival_time,service_time_minutes,planned_start_time,vehicle_capacity_units,time_window_start,time_window_end,demand_units,customer_id
R001,0,32.7767,-96.797,depot,,0,2025-03-11T07:30:00+00:00,60,,,0,
R001,1,32.85,-96.9,delivery,2025-03-11T07:45:40.484220+00:00,8.0,2025-03-11T07:30:00+00:00,60,,,7,C-ZZ-01
R001,2,32.85,-96.7,delivery,2025-03-11T08:16:53.576092+00:00,8.0,2025-03-11T07:30:00+00:00,60,,,7,C-ZZ-02
R001,3,32.85,-96.88,delivery,2025-03-11T08:45:47.358812+00:00,8.0,2025-03-11T07:30:00+00:00,60,,,7,C-ZZ-03
R001,4,32.85,-96.72,delivery,2025-03-11T09:12:21.832370+00:00,8.0,2025-03-11T07:30:00+00:00,60,,,7,C-ZZ-04
R001,5,32.85,-96.86,delivery,2025-03-11T09:36:36.996755+00:00,8.0,2025-03-11T07:30:00+00:00,60,,,7,C-ZZ-05
R001,6,32.85,-96.74,delivery,2025-03-11T09:58:32.851958+00:00,8.0,2025-03-11T07:30:00+00:00,60,,,7,C-ZZ-06
R001,7,32.85,-96.84,delivery,2025-03-11T10:18:09.397972+00:00,8.0,2025-03-11T07:30:00+00:00,60,,,7,C-ZZ-07
R001,8,32.85,-96.76,delivery,2025-03-11T10:35:26.634791+00:00,8.0,2025-03-11T07:30:00+00:00,60,,,7,C-ZZ-08
R002,0,32.7767,-96.797,depot,,0,2025-03-11T07:30:00+00:00,80,,,0,
R002,1,32.81,-96.85,delivery,2025-03-11T07:37:41.184542+00:00,8.0,2025-03-11T07:30:00+00:00,80,11:00:00,15:00:00,4,C-ID-01
R002,2,32.818,-96.842,delivery,2025-03-11T07:47:07.829567+00:00,8.0,2025-03-11T07:30:00+00:00,80,11:00:00,15:00:00,4,C-ID-02
R002,3,32.825,-96.835,delivery,2025-03-11T07:56:23.641315+00:00,8.0,2025-03-11T07:30:00+00:00,80,11:00:00,15:00:00,4,C-ID-03
R002,4,32.832,-96.828,delivery,2025-03-11T08:05:39.450590+00:00,8.0,2025-03-11T07:30:00+00:00,80,11:00:00,15:00:00,4,C-ID-04
R002,5,32.839,-96.821,delivery,2025-03-11T08:14:55.257392+00:00,8.0,2025-03-11T07:30:00+00:00,80,11:00:00,15:00:00,4,C-ID-05
R002,6,32.846,-96.814,delivery,2025-03-11T08:24:11.061720+00:00,8.0,2025-03-11T07:30:00+00:00,80,11:00:00,15:00:00,4,C-ID-06
R003,0,32.7767,-96.797,depot,,0,2025-03-11T07:35:00+00:00,120,,,0,
R003,1,32.745,-96.83,delivery,2025-03-11T07:40:49.318583+00:00,8.0,2025-03-11T07:35:00+00:00,120,,,2,C-OL-01
R003,2,32.748,-96.825,delivery,2025-03-11T07:49:32.149387+00:00,8.0,2025-03-11T07:35:00+00:00,120,,,2,C-OL-02
R003,3,32.751,-96.833,delivery,2025-03-11T07:58:33.230206+00:00,8.0,2025-03-11T07:35:00+00:00,120,,,2,C-OL-03
R003,4,32.744,-96.821,delivery,2025-03-11T08:08:15.069283+00:00,8.0,2025-03-11T07:35:00+00:00,120,,,2,C-OL-04
R003,5,32.753,-96.828,delivery,2025-03-11T08:17:44.238701+00:00,8.0,2025-03-11T07:35:00+00:00,120,,,2,C-OL-05
R003,6,32.747,-96.836,delivery,2025-03-11T08:26:58.984673+00:00,8.0,2025-03-11T07:35:00+00:00,120,,,2,C-OL-06
R003,7,32.7668,-96.5992,delivery,2025-03-11T09:02:38.274917+00:00,12.0,2025-03-11T07:35:00+00:00,120,,,5,C-OL-FAR
R004,0,32.7767,-96.797,depot,,0,2025-03-11T07:30:00+00:00,70,,,0,
R004,1,32.9,-96.77,delivery,2025-03-11T07:47:19.475382+00:00,8.0,2025-03-11T07:30:00+00:00,70,,,6,C-TA-01
R004,2,32.91,-96.76,delivery,2025-03-11T07:57:07.735707+00:00,8.0,2025-03-11T07:30:00+00:00,70,,,6,C-TA-02
R004,3,32.92,-96.75,delivery,2025-03-11T08:06:55.990977+00:00,8.0,2025-03-11T07:30:00+00:00,70,,,6,C-TA-03
R004,4,32.93,-96.74,delivery,2025-03-11T08:16:44.241190+00:00,8.0,2025-03-11T07:30:00+00:00,70,,,6,C-TA-04
R005,0,32.7767,-96.797,depot,,0,2025-03-11T07:40:00+00:00,70,,,0,
R005,1,32.905,-96.765,delivery,2025-03-11T07:58:06.878360+00:00,8.0,2025-03-11T07:40:00+00:00,70,,,6,C-TB-01
R005,2,32.915,-96.755,delivery,2025-03-11T08:07:55.136158+00:00,8.0,2025-03-11T07:40:00+00:00,70,,,6,C-TB-02
R005,3,32.925,-96.745,delivery,2025-03-11T08:17:43.388900+00:00,8.0,2025-03-11T07:40:00+00:00,70,,,6,C-TB-03
R005,4,32.935,-96.735,delivery,2025-03-11T08:27:31.636585+00:00,8.0,2025-03-11T07:40:00+00:00,70,,,6,C-TB-04
R006,0,32.7767,-96.797,depot,,0,2025-03-11T15:00:00+00:00,90,,,0,
R006,1,32.79,-96.75,delivery,2025-03-11T15:05:45.683049+00:00,8.0,2025-03-11T15:00:00+00:00,90,15:00:00,16:00:00,5,C-TW-01
R006,2,32.795,-96.72,delivery,2025-03-11T15:17:18.852176+00:00,8.0,2025-03-11T15:00:00+00:00,90,15:00:00,16:00:00,5,C-TW-02
R006,3,32.8,-96.69,delivery,2025-03-11T15:28:52.009771+00:00,8.0,2025-03-11T15:00:00+00:00,90,15:00:00,16:00:00,5,C-TW-03
R006,4,32.805,-96.66,delivery,2025-03-11T15:40:25.155832+00:00,8.0,2025-03-11T15:00:00+00:00,90,15:00:00,16:00:00,5,C-TW-04
R006,5,32.81,-96.63,delivery,2025-03-11T15:51:58.290357+00:00,8.0,2025-03-11T15:00:00+00:00,90,15:00:00,16:00:00,5,C-TW-05
R006,6,32.815,-96.6,delivery,2025-03-11T16:03:31.413345+00:00,8.0,2025-03-11T15:00:00+00:00,90,15:00:00,16:00:00,5,C-TW-06
R006,7,32.82,-96.57,delivery,2025-03-11T16:15:04.524794+00:00,8.0,2025-03-11T15:00:00+00:00,90,15:00:00,16:00:00,5,C-TW-07
